Gene ID,NC24h_pi_1,NC24h_pi_2,NC24h_pi_3,X24h_pi_1,X24h_pi_2,X24h_pi_3,NC48h_pi_1,NC48h_pi_2,NC48h_pi_3,X48h_pi_1,X48h_pi_2,X48h_pi_3,NC72h_pi_1,NC72h_pi_2,NC72h_pi_3,X72h_pi_1,X72h_pi_2,X72h_pi_3,NC96h_pi_1,NC96h_pi_2,NC96h_pi_3,X96h_pi_1,X96h_pi_2,X96h_pi_3
c157852_g1,0,0,1,13,11,12,0,0,1,20,34,28,0,0,1,6,7,28,0,0,1,42,10,6
c157904_g1,5,2,1,6,3,5,5,2,1,5,5,4,5,2,1,6,5,2,5,2,1,5,4,4
c157965_g1,0,0,1,7,5,7,0,0,1,6,3,9,0,0,1,2,5,0,0,0,1,16,4,0
c157995_g8,20,19,38,0,0,0,20,19,38,0,0,0,20,19,38,11,0,0,20,19,38,10,0,0
c158051_g1,0,0,0,8,4,3,0,0,0,9,25,15,0,0,0,4,1,10,0,0,0,9,5,10
c158104_g1,7,7,10,17,10,8,7,7,10,17,34,34,7,7,10,19,2,36,7,7,10,48,12,17
c158164_g1,0,0,0,5,2,2,0,0,0,2,9,7,0,0,0,0,3,17,0,0,0,13,3,13
c158217_g1,42,42,39,57,46,63,42,42,39,80,103,125,42,42,39,117,102,68,42,42,39,168,62,24
c158275_g2,1,0,0,8,4,4,1,0,0,6,8,3,1,0,0,8,0,7,1,0,0,14,9,2
c158322_g1,0,0,0,6,2,8,0,0,0,4,6,10,0,0,0,1,2,2,0,0,0,3,2,2
c158362_g1,2,3,5,14,6,4,2,3,5,10,12,6,2,3,5,1,1,5,2,3,5,7,6,3
c158418_g1,0,0,0,1,5,4,0,0,0,1,6,4,0,0,0,0,0,2,0,0,0,1,1,0
c158487_g1,2,0,2,1,3,1,2,0,2,1,4,3,2,0,2,5,3,10,2,0,2,18,8,3
c158534_g4,0,0,2,1,1,1,0,0,2,0,3,7,0,0,2,0,2,1,0,0,2,4,3,2
